ticker,quantity,entry_price,target_price,stop_loss,notes,added_at
0005.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
000660.KS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
005380.KS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
005930.KS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
035420.KS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
0388.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
051910.KS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
0700.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
1211.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
1299.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
1810.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
2308.TW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
2317.TW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
2318.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
2330.TW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
2454.TW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
3690.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
373220.KS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
4063.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
4502.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
4519.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6098.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6367.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6501.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6758.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6861.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6902.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6954.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
6981.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
7203.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
7267.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
7741.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
7974.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
8001.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
8035.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
8058.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
8306.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
8316.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
8766.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
9432.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
9433.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
9618.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
9983.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
9984.T,0.0,,,,,2026-07-12T20:24:08.187427+00:00
9988.HK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
AAL.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
AAPL,0.0,,,,,2026-07-12T20:24:08.187427+00:00
ABBV,0.0,,,,,2026-07-12T20:24:08.187427+00:00
ABT,0.0,,,,,2026-07-12T20:24:08.187427+00:00
