ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w,entry_price,target_price,stop_loss,risk_pct,reward_pct,risk_reward,position_quality,plan_reason
4502.T,BUY,88,88,NEUTRAL,40,0,5718.0,-2.21,11.03,9.14,66.6,1.23,1.54,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,5495.1,5218.3,5092.56,5890.0,5718.0,5985.14,5572.29,2.55,4.67,1.83,A,BUY score 88; ATR-based plan; R/R 1.83
ALV.DE,BUY,88,88,NEUTRAL,40,0,432.5,0.23,3.03,17.18,67.6,1.29,0.65,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,424.24,405.7,379.94,432.5,432.5,444.62,425.89,1.53,2.8,1.83,A,BUY score 88; ATR-based plan; R/R 1.83
DB1.DE,BUY,88,88,NEUTRAL,40,0,262.3,-0.61,5.0,8.08,56.8,1.33,1.56,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,257.82,250.6,235.03,270.5,262.3,275.75,254.96,2.8,5.13,1.83,A,BUY score 88; ATR-based plan; R/R 1.83
ISP.MI,BUY,88,88,NEUTRAL,40,0,6.54,0.38,6.01,12.49,62.1,1.16,1.31,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,6.35,6.07,5.77,6.54,6.54,6.78,6.41,1.99,3.65,1.83,A,BUY score 88; ATR-based plan; R/R 1.83
8766.T,BUY,83,83,NEUTRAL,40,0,8202.0,-2.28,15.33,15.64,59.4,1.0,2.23,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,7851.1,7474.1,6571.81,8393.0,8202.0,8620.0,7951.2,3.06,5.1,1.67,B,BUY score 83; ATR-based plan; R/R 1.67
NWG.L,BUY,83,83,NEUTRAL,40,0,705.8,3.22,3.37,23.34,69.7,1.96,1.79,TREND,32,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,670.95,643.05,613.63,705.8,705.8,750.21,679.16,3.78,6.29,1.67,B,BUY score 83; ATR-based plan; R/R 1.67
UBSG.SW,BUY,83,83,NEUTRAL,40,0,42.55,-0.16,3.3,20.71,52.1,1.08,1.46,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,42.51,40.43,34.89,44.28,42.55,44.63,41.87,1.59,4.9,3.08,B,BUY score 83; ATR-based plan; R/R 3.08
8316.T,BUY,80,80,NEUTRAL,40,0,6666.0,-3.05,3.62,20.3,45.7,1.24,2.06,MIXED,24,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,6905.15,6504.44,5455.07,7214.0,6666.0,7077.86,6418.89,3.71,6.18,1.67,B,BUY score 80; ATR-based plan; R/R 1.67
BNP.PA,BUY,79,79,NEUTRAL,40,0,109.66,0.75,6.8,19.78,72.6,1.17,1.58,TREND,32,21,12,18,0,-4,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,104.05,99.95,87.39,109.66,109.66,114.72,106.12,3.23,4.62,1.43,C,BUY score 79; ATR-based plan; R/R 1.43
EWS,BUY,79,79,NEUTRAL,40,0,32.22,-0.6,6.81,12.17,60.4,0.86,0.91,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,31.62,30.32,28.8,32.41,32.22,33.02,31.66,1.73,2.47,1.43,C,BUY score 79; ATR-based plan; R/R 1.43
STAN.L,BUY,79,79,NEUTRAL,40,0,2188.0,-1.26,3.11,15.38,61.4,0.95,1.45,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,2131.25,2050.56,1801.36,2216.0,2188.0,2310.76,2102.07,3.93,5.61,1.43,C,BUY score 79; ATR-based plan; R/R 1.43
TSCO.L,BUY,79,79,NEUTRAL,40,0,489.5,-0.51,4.91,3.91,64.6,1.03,1.3,TREND,32,22,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,478.38,463.85,460.06,501.8,489.5,509.37,475.59,2.84,4.06,1.43,C,BUY score 79; ATR-based plan; R/R 1.43
