ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
AMGN,WATCH,83,88,DEFENSIVE,30,-5,371.5,1.49,5.71,9.21,47.5,1.29,1.49,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,363.93,349.43,341.11,388.16
CP.TO,WATCH,83,88,DEFENSIVE,30,-5,130.06,1.18,7.69,9.63,66.4,1.44,1.12,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,127.02,124.24,111.34,131.34
EWS,WATCH,83,88,DEFENSIVE,30,-5,31.44,-1.78,6.04,9.89,64.9,2.14,0.95,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,30.92,29.97,28.71,32.09
PM,WATCH,83,88,DEFENSIVE,30,-5,191.12,-1.64,6.9,18.78,58.9,1.22,2.13,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,184.59,182.99,168.82,194.3
RTX,WATCH,79,84,DEFENSIVE,30,-5,209.16,7.33,13.02,20.64,64.1,2.16,2.06,TREND,28,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,194.83,185.64,186.31,212.16
CIB,WATCH,78,83,DEFENSIVE,30,-5,86.79,2.52,9.47,25.02,69.0,1.32,1.74,TREND,32,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,81.02,75.8,69.73,86.79
JPM,WATCH,78,83,DEFENSIVE,30,-5,349.9,0.49,4.93,12.28,64.7,1.04,1.28,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,337.99,321.39,310.46,349.9
NWG.L,WATCH,78,83,DEFENSIVE,30,-5,676.0,0.81,2.99,18.8,45.7,1.38,1.51,TREND,32,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,669.15,632.22,610.24,694.2
SLF.TO,WATCH,78,83,DEFENSIVE,30,-5,114.76,0.05,4.31,17.86,56.6,1.02,0.92,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,112.89,107.15,92.51,114.76
ALV.DE,WATCH,74,79,DEFENSIVE,30,-5,427.1,0.64,4.71,9.79,60.9,0.84,0.65,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,420.25,401.02,378.4,427.1
BAC,WATCH,74,79,DEFENSIVE,30,-5,61.28,-0.55,6.15,16.44,64.0,0.83,1.31,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,59.7,55.85,53.2,61.62
BNP.PA,WATCH,74,79,DEFENSIVE,30,-5,105.92,2.08,4.75,18.7,55.5,0.92,1.57,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,102.43,98.01,86.6,106.78
CNR.TO,WATCH,74,79,DEFENSIVE,30,-5,183.92,2.05,11.47,16.88,73.2,1.46,1.34,TREND,32,21,12,18,0,-4,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,175.49,167.59,147.2,183.92
ISP.MI,WATCH,74,79,DEFENSIVE,30,-5,6.44,2.5,8.17,11.48,59.3,0.87,1.39,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,6.24,5.98,5.74,6.45
JNJ,WATCH,74,79,DEFENSIVE,30,-5,259.27,1.42,7.58,15.06,46.5,0.93,1.95,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,255.55,241.15,224.26,267.24
MFC.TO,WATCH,74,79,DEFENSIVE,30,-5,60.69,0.03,7.32,14.94,66.3,0.81,0.98,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,59.04,56.29,51.0,60.86
MRK,WATCH,74,79,DEFENSIVE,30,-5,130.48,2.36,8.19,18.37,51.5,0.86,2.17,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,126.47,120.72,110.28,130.48
ZURN.SW,WATCH,74,79,DEFENSIVE,30,-5,623.0,0.81,5.77,14.56,60.3,0.92,0.74,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,611.93,585.11,569.14,624.4
HON,WATCH,73,78,DEFENSIVE,30,-5,246.27,5.7,3.25,10.74,66.7,1.26,2.51,RECOVERING,26,26,12,18,-4,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,228.51,231.88,226.21,260.14
HSBA.L,WATCH,73,78,DEFENSIVE,30,-5,1552.8,1.69,9.15,16.66,71.4,1.11,0.96,TREND,32,21,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1476.02,1420.96,1251.8,1552.8
4502.T,WATCH,71,76,DEFENSIVE,30,-5,5778.0,2.3,13.58,10.73,65.5,0.69,1.42,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,5404.15,5187.48,5070.41,5890.0
8316.T,WATCH,71,76,DEFENSIVE,30,-5,7211.0,0.7,12.83,33.44,66.7,0.64,1.64,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,6837.35,6445.98,5413.81,7211.0
AAPL,WATCH,71,76,DEFENSIVE,30,-5,321.66,-1.3,9.75,20.2,63.0,0.63,2.38,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,311.49,305.47,275.6,333.74
EPU,WATCH,71,76,DEFENSIVE,30,-5,85.68,-2.81,3.32,6.3,54.1,0.74,1.78,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,84.77,84.36,78.15,93.84
LLOY.L,WATCH,71,76,DEFENSIVE,30,-5,113.5,0.93,3.94,16.95,45.1,0.6,1.4,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,112.48,106.05,99.01,115.35
STAN.L,WATCH,71,76,DEFENSIVE,30,-5,2137.0,0.38,4.96,19.39,47.8,0.72,1.13,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,2109.9,2025.74,1783.59,2155.0
UBSG.SW,WATCH,71,76,DEFENSIVE,30,-5,42.31,0.17,5.85,27.13,52.6,0.7,1.46,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,41.97,39.81,34.64,44.28
XLF,WATCH,71,76,DEFENSIVE,30,-5,55.83,-0.39,3.93,7.76,52.3,0.72,0.88,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,55.45,53.52,52.73,56.75
AIR.PA,WATCH,70,75,DEFENSIVE,30,-5,206.05,0.76,7.37,17.82,46.1,0.85,2.2,TREND,28,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,199.03,187.24,189.94,220.2
BMO.TO,WATCH,70,75,DEFENSIVE,30,-5,248.95,-1.31,1.39,20.15,52.6,1.35,1.13,MIXED,24,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,251.31,237.47,199.95,257.76
BNS.TO,WATCH,70,75,DEFENSIVE,30,-5,121.88,-1.2,0.33,16.19,48.6,1.15,1.14,MIXED,24,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,123.29,117.52,103.55,126.86
UCG.MI,WATCH,70,75,DEFENSIVE,30,-5,80.43,1.53,4.33,22.57,46.3,1.1,2.01,MIXED,24,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,81.11,77.15,69.97,83.21
XLI,WATCH,70,75,DEFENSIVE,30,-5,181.94,1.73,0.96,5.47,43.9,1.26,1.04,TREND,32,13,12,18,0,0,strong trend; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,181.5,177.45,166.47,185.56
BARC.L,WATCH,69,74,DEFENSIVE,30,-5,525.4,1.14,2.88,21.9,47.6,0.97,1.3,TREND,32,21,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,517.58,487.74,447.42,529.5
7267.T,WATCH,67,72,DEFENSIVE,30,-5,1583.5,3.09,9.24,22.51,47.4,0.46,1.9,TREND,28,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1530.67,1463.12,1481.27,1702.5
8766.T,WATCH,66,71,DEFENSIVE,30,-5,8246.0,1.6,19.46,15.1,62.9,0.55,2.37,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,7687.9,7445.44,6540.62,8246.0
ENB.TO,WATCH,66,71,DEFENSIVE,30,-5,79.43,0.18,0.8,9.39,66.7,0.76,1.12,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,78.25,78.06,71.42,80.19
MQG.AX,WATCH,66,71,DEFENSIVE,30,-5,257.37,0.91,2.94,8.05,59.1,0.47,0.82,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,253.73,246.81,220.82,258.41
NOVN.SW,WATCH,66,71,DEFENSIVE,30,-5,126.9,-0.6,0.49,10.62,55.1,0.78,1.31,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,125.3,121.61,115.41,130.5
UNH,WATCH,66,71,DEFENSIVE,30,-5,423.56,-1.8,4.38,19.42,49.0,0.8,1.82,MIXED,24,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,424.69,407.11,342.94,436.35
RY.TO,WATCH,65,70,DEFENSIVE,30,-5,293.67,-1.44,1.96,20.78,53.7,1.0,1.13,MIXED,24,21,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,295.8,280.06,239.36,305.74
SREN.SW,WATCH,65,70,DEFENSIVE,30,-5,134.5,1.59,5.24,5.32,57.9,0.85,1.3,TREND,28,26,3,13,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,132.55,125.68,131.8,154.65
TMO,WATCH,65,70,DEFENSIVE,30,-5,572.32,8.71,16.28,22.28,71.3,2.5,2.36,TREND,28,21,12,13,0,-4,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,524.07,489.81,529.58,639.45
XLRE,WATCH,65,70,DEFENSIVE,30,-5,44.95,-0.13,0.99,3.36,53.4,0.97,0.99,TREND,32,17,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,44.73,44.48,42.53,45.46
VOD.L,WATCH,64,69,DEFENSIVE,30,-5,114.6,-1.33,8.47,0.09,71.4,1.42,3.61,RECOVERING,26,17,12,18,-4,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,107.88,109.54,105.09,120.4
ABBV,WATCH,63,68,DEFENSIVE,30,-5,256.92,1.43,9.38,30.17,44.5,0.52,1.99,TREND,32,18,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,252.01,232.27,223.86,261.07
XLV,WATCH,63,68,DEFENSIVE,30,-5,161.44,1.26,5.28,12.53,44.6,0.62,1.4,TREND,32,18,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,160.58,154.16,151.81,164.44
0005.HK,WATCH,62,67,DEFENSIVE,30,-5,161.2,-0.12,9.14,14.65,74.2,0.34,0.84,TREND,32,21,0,18,0,-4,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,154.64,148.34,130.12,161.5
6902.T,WATCH,62,67,DEFENSIVE,30,-5,2043.0,3.34,8.96,8.47,60.0,0.6,1.35,TREND,28,26,0,13,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1953.05,1908.8,2041.52,2315.0
DB1.DE,WATCH,62,67,DEFENSIVE,30,-5,258.1,1.94,8.31,-1.34,54.2,0.88,1.49,TREND,32,18,3,14,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,252.16,249.76,234.1,267.3
EC,WATCH,62,67,DEFENSIVE,30,-5,16.33,-2.16,11.93,19.02,72.3,0.76,1.71,TREND,32,21,0,18,0,-4,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,15.39,15.15,12.51,16.69
EWC,WATCH,62,67,DEFENSIVE,30,-5,58.82,-0.78,2.67,1.45,61.4,0.71,0.58,TREND,32,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,58.47,58.36,55.36,59.49
IJR,WATCH,62,67,DEFENSIVE,30,-5,144.88,-0.62,0.32,6.09,44.0,1.4,0.76,MIXED,24,13,12,18,0,0,strong trend; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,146.12,141.93,129.43,148.31
