scan_id,saved_at,ticker,signal,score,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,sma_20,sma_50,sma_200,high_52w
20260704_110916,2026-07-04T11:09:16.656552+00:00,ABNB,WATCH,70,148.93,1.1,11.48,19.17,72.8,0.87,2.12,TREND,32,21,3,18,0,-4,strong trend; healthy momentum; relative strength,139.24,137.89,130.08,148.93
20260704_110916,2026-07-04T11:09:16.656552+00:00,AAPL,WATCH,69,308.63,4.84,-0.53,21.75,58.3,1.09,2.42,TREND,32,16,7,14,0,0,strong trend; healthy momentum; volume support; relative strength,294.8,293.52,270.69,315.2
20260704_110916,2026-07-04T11:09:16.656552+00:00,SNOW,WATCH,59,260.15,-0.4,7.82,74.32,63.3,1.1,2.78,TREND,28,14,7,18,-4,-4,strong trend; volume support; relative strength,240.4,198.41,206.51,280.16
20260704_110916,2026-07-04T11:09:16.656552+00:00,GOOGL,IGNORE,52,359.91,-0.36,0.26,17.83,51.3,0.68,2.21,RECOVERING,18,21,0,13,0,0,developing trend; healthy momentum; relative strength,358.54,370.97,316.15,402.62
20260704_110916,2026-07-04T11:09:16.656552+00:00,DDOG,IGNORE,51,260.36,-1.56,4.01,123.41,68.3,0.61,2.92,TREND,32,9,0,18,-4,-4,strong trend; relative strength,235.07,207.94,156.08,277.49
20260704_110916,2026-07-04T11:09:16.656552+00:00,NET,IGNORE,51,242.41,-1.58,-8.64,12.08,62.4,0.8,3.24,TREND,32,11,3,9,-4,0,strong trend,235.22,225.45,208.21,272.66
20260704_110916,2026-07-04T11:09:16.656552+00:00,AMZN,IGNORE,43,242.67,0.4,-2.94,13.52,50.9,0.76,2.33,RECOVERING,18,16,0,9,0,0,developing trend; healthy momentum,240.25,255.42,232.98,274.99
20260704_110916,2026-07-04T11:09:16.656552+00:00,INTC,IGNORE,42,120.35,-5.25,6.78,127.46,51.9,0.95,6.55,MIXED,24,14,3,13,-12,0,strong trend; relative strength; volatility risk,123.12,113.38,60.33,140.94
20260704_110916,2026-07-04T11:09:16.656552+00:00,SHOP,IGNORE,42,119.46,-1.78,5.77,2.05,61.0,0.77,3.26,RECOVERING,16,22,0,8,-4,0,developing trend; healthy momentum,112.21,112.33,136.23,179.01
20260704_110916,2026-07-04T11:09:16.656552+00:00,UBER,IGNORE,42,74.43,2.44,3.82,3.76,59.3,0.61,2.93,RECOVERING,16,22,0,8,-4,0,developing trend; healthy momentum,71.86,73.21,81.12,100.1
