scan_id,saved_at,ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
20260731_170411,2026-07-31T17:04:11.140780+00:00,4502.T,BUY,88,88,NEUTRAL,40,0,5718.0,-2.21,11.03,9.14,66.6,1.23,1.54,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,5495.1,5218.3,5092.56,5890.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,ALV.DE,BUY,88,88,NEUTRAL,40,0,432.5,0.23,3.03,17.18,67.6,1.29,0.65,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,424.24,405.7,379.94,432.5
20260731_170411,2026-07-31T17:04:11.140780+00:00,DB1.DE,BUY,88,88,NEUTRAL,40,0,262.3,-0.61,5.0,8.08,56.8,1.33,1.56,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,257.82,250.6,235.03,270.5
20260731_170411,2026-07-31T17:04:11.140780+00:00,ISP.MI,BUY,88,88,NEUTRAL,40,0,6.54,0.38,6.01,12.49,62.1,1.16,1.31,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,6.35,6.07,5.77,6.54
20260731_170411,2026-07-31T17:04:11.140780+00:00,8766.T,BUY,83,83,NEUTRAL,40,0,8202.0,-2.28,15.33,15.64,59.4,1.0,2.23,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,7851.1,7474.1,6571.81,8393.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,NWG.L,BUY,83,83,NEUTRAL,40,0,705.8,3.22,3.37,23.34,69.7,1.96,1.79,TREND,32,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,670.95,643.05,613.63,705.8
20260731_170411,2026-07-31T17:04:11.140780+00:00,UBSG.SW,BUY,83,83,NEUTRAL,40,0,42.55,-0.16,3.3,20.71,52.1,1.08,1.46,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,42.51,40.43,34.89,44.28
20260731_170411,2026-07-31T17:04:11.140780+00:00,8316.T,BUY,80,80,NEUTRAL,40,0,6666.0,-3.05,3.62,20.3,45.7,1.24,2.06,MIXED,24,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,6905.15,6504.44,5455.07,7214.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,BNP.PA,BUY,79,79,NEUTRAL,40,0,109.66,0.75,6.8,19.78,72.6,1.17,1.58,TREND,32,21,12,18,0,-4,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,104.05,99.95,87.39,109.66
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWS,BUY,79,79,NEUTRAL,40,0,32.22,-0.6,6.81,12.17,60.4,0.86,0.91,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,31.62,30.32,28.8,32.41
20260731_170411,2026-07-31T17:04:11.140780+00:00,STAN.L,BUY,79,79,NEUTRAL,40,0,2188.0,-1.26,3.11,15.38,61.4,0.95,1.45,TREND,32,26,3,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,2131.25,2050.56,1801.36,2216.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,TSCO.L,BUY,79,79,NEUTRAL,40,0,489.5,-0.51,4.91,3.91,64.6,1.03,1.3,TREND,32,22,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,478.38,463.85,460.06,501.8
20260731_170411,2026-07-31T17:04:11.140780+00:00,SU.PA,BUY,78,78,NEUTRAL,40,0,289.6,1.76,3.39,6.24,64.6,1.61,2.93,RECOVERING,26,26,12,18,-4,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,269.15,273.46,254.37,292.75
